ID,Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_SW,Heavy_Sour,Crude_Breakdown,Crude_Num,VolumeM3,mth,Net Sulf,Net Dens,Net VP,SS_VP,SS_Dens,SS_Sulf,VP_95_Spec
22,SPAEN,09-08-004-03W2,,12/13/2016,104.4,0.97927,10.7,-25,832,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,13705.84,12,11166869.32,11403258.88,1430889.696,501.7202589,133.0115771,0.119253867,0
23,CRESC,05-14-003-01W2,,12/13/2016,88.9,1.09218,5,-25,834,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,3704.37,12,3374229.581,3089444.58,329318.493,47.59775885,90.87931907,0.054019769,0
24,TORCO,03-15-004-06W2,,12/13/2016,64.9,1.142,26,-25,849.4,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,6151.05,12,5966609.536,5224701.87,399203.145,292.4403395,34.42093197,0.03334332,0
25,CRESC,02-13-006-06W2,,12/13/2016,87.9,1.43677,18,-25,845,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,1579,12,1917017.556,1334255,138794.1,34.79953305,2.151899714,0.012581765,0
26,SPAEN,03-03-002-32W1,,12/13/2016,102.3,1.70048,-8.7,-25,825,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,4410.24,12,6187108.055,3638448,451167.552,92.03731921,42.65301839,1.037498706,0
27,TORCO,04-17-004-31W1,,12/13/2016,79.9,1.73357,6.7,-25,862.8,-17.95,-21.72380952,-18.1,-17.8,-18.3,-17,-18,-18.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,1520.03,12,2273545.65,1311481.884,121450.397,4.413726593,371.2148029,0.167255208,0
28,PMCL,01-07-006-10W2, REV,12/14/2016,53.7,0.35605,3,-25,830,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,0,0,1,0,0,0,Medium_SW,4,53327.86,12,15759529.18,44262123.8,2863706.082,361,648.5511111,0.024239272,0
29,PMCL,01-07-006-10W2, SALES,12/14/2016,97.5,1.61271,0.5,-25,833,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,53327.86,12,71639976.79,44422107.38,5199466.35,240.2225008,110.9454481,0.083006489,0
30,CRESC,11-15-007-09W2,,12/14/2016,99.8,0.23268,-4,-25,822,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,5355.02,12,1024216.976,4401826.44,534430.996,54.55199451,146.5741138,0.006463288,0
31,CRESC,09-20-008-08W2,,12/14/2016,113.5,0.38735,-11,-25,815,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,2747.39,12,867324.2359,2239122.85,311828.765,444.6165369,26.07919851,0.005516839,0
32,CRESC,09-13-007-11W2,,12/14/2016,118.4,0.47224,5,-25,803.1,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,22011.31,12,8347920.153,17677283.06,2606139.104,675.2686725,46.14784257,0.025333632,0
33,CRESC,13-30-007-10W2,,12/14/2016,99.6,0.56724,-9,-25,803,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,9665.33,12,4402497.117,7761259.99,962666.868,47.52183467,239.2921936,0.013147648,0
34,CRESC,01-04-007-09W2,,12/14/2016,44.3,2.11695,28.5,-25,873,-23.21666667,-22.70714286,-24.1,-24.3,-23,-20.8,-23.6,-23.5,Crude,0,0,0,0,0,0,1,0,0,Midale,5,411.438,12,760377.4775,359185.374,18226.7034,412.414864,18.800896,0.258304238,0
